物料编码;零部件编号;零部件名称;图纸编号/图纸备注;材料/规格;单位;数量;采购类别;VENDOR;标准质保（类别）;海外标准质保要求;标准质保;海外协议签署情况;通则签署情况;供应商质保;标准质保差;质保需求;质保差;故障率;工时;成本价;售后成本;标准质保差;标准质保为1年的延保材料费;标准质保为1年的延保工时费;标准质保为2年的延保材料费;标准质保为2年的延保工时费;标准质保为5年的延保材料费;标准质保为5年的延保工时费;延保换件材料费;延保换件工时费;类别;备注;Vendor Description;P/N(供应商零部件编号);第二供应商信息;Second Vendor Description;SORT;Assembly Station(装配位置);Remark(备注);Remark English Description;New developed part(是否为新开发件);Technical state confirmation(技术状态确定);Section(科室);部门
10056880-00;Φ16×1.5mm;紫铜管;;;;4,5;;第十九事业部/上海昆琦实业有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10099334-00;Φ8×1;尼龙管;;;;40;;河北三丰橡塑制品有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
10100709-00;25m×19mm-514;胶带_25m×19mm-514_黑色_PET布基;;;;;;第十五事业部线束深圳工厂;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10141351-00;Q32004T2F3C;六角法兰面螺母;;;;1;;上海上标集团紧固件有限公司/温州市尖端标准件有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
10149901-00;BYDQ4430520F;封闭型沉头抽芯铆钉;;;;20;;无锡市三星铆钉厂/深圳市怡兴电子科技有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
10149906-00;Q80008F3;卡套;;;;10;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10149937-00;Q80012;卡套;;;;12;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
10150020-00;Q67405250;塑料紧箍带;;;;;;深圳市振恺塑胶五金有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10150047-00;Q72316T5F;密封垫圈;;;;1;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
10150048-00;Q72322T5F;密封垫圈;;;;2;;海盐县海管管件制造有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;标准件;;;;;;;
